ID,label,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,DAYS_EMPLOYED_CLEAN,Grouped_Housing_Type
5088816,1,F,0,1,0,126000,Working,Secondary / secondary special,Single / not married,-11426,-155,0,1,0,Core staff,1,31,0.5,Other
5028546,1,M,0,1,0,99000,Commercial associate,Incomplete higher,Civil marriage,-10746,-568,0,0,0,Laborers,2,29,1.5,Other
5066499,1,F,0,0,1,112500,Working,Higher education,Civil marriage,-12076,-5362,0,1,1,Laborers,3,33,14.5,Other
5112675,0,F,0,1,0,148500,Working,Secondary / secondary special,Single / not married,-19826,-2888,0,0,1,High skill tech staff,1,54,8,House / apartment
5125518,1,M,0,1,1,202500,Commercial associate,Secondary / secondary special,Married,-14952,-104,0,1,0,Security staff,3,41,0.5,House / apartment
5105532,1,F,0,1,0,117000,State servant,Secondary / secondary special,Married,-17386,-9311,0,1,0,Medicine staff,2,48,25.5,House / apartment
5047681,1,M,1,1,0,135000,Working,Higher education,Married,-9075,-614,1,1,0,Sales staff,2,25,1.5,House / apartment
5024810,1,M,0,0,1,112500,Working,Secondary / secondary special,Separated,-15390,-1615,0,0,0,Laborers,2,42,4.5,Other
5046328,0,F,0,1,1,157500,Pensioner,Secondary / secondary special,Single / not married,-15466,-2269,0,1,0,Low-skill Laborers,3,42,6,House / apartment
5041324,1,F,0,0,0,157500,Working,Higher education,Single / not married,-18973,-3289,0,0,0,Laborers,1,52,9,Other
5033598,1,M,1,0,0,270000,Commercial associate,Secondary / secondary special,Married,-11641,-2148,0,0,0,Drivers,2,32,6,House / apartment
5050848,1,F,0,0,0,90000,Working,Secondary / secondary special,Separated,-15300,-4700,1,1,1,Laborers,1,42,13,House / apartment
5068314,1,M,0,1,1,198000,Commercial associate,Incomplete higher,Single / not married,-9649,-140,0,0,0,Managers,2,26,0.5,House / apartment
5067368,0,F,1,1,0,315000,Commercial associate,Incomplete higher,Single / not married,-9130,-1390,0,1,0,Core staff,1,25,4,House / apartment
5091589,1,F,0,1,0,225000,Commercial associate,Incomplete higher,Married,-10159,-1204,0,0,0,Accountants,2,28,3.5,Other
5062496,1,M,0,1,1,225000,State servant,Secondary / secondary special,Married,-9183,-2054,0,0,0,Drivers,3,25,5.5,House / apartment
5135886,1,M,1,1,0,90000,Working,Incomplete higher,Married,-18992,-3243,0,1,0,Drivers,2,52,9,House / apartment
5051192,1,M,0,0,0,270000,Working,Incomplete higher,Separated,-17938,-531,1,0,0,Managers,1,49,1.5,Other
5113048,0,M,1,0,0,310500,Working,Higher education,Single / not married,-9930,-674,0,0,0,Laborers,1,27,2,House / apartment
5051192,1,M,0,0,0,270000,Working,Incomplete higher,Separated,-17938,-531,1,0,0,Managers,1,49,1.5,Other
5010986,1,F,0,1,0,121500,Commercial associate,Higher education,Single / not married,-11118,-3873,1,0,0,Sales staff,1,30,10.5,Other
5061697,1,M,0,1,0,157500,Commercial associate,Incomplete higher,Separated,-13463,-1993,0,0,0,Security staff,1,37,5.5,House / apartment
5104922,1,M,1,1,0,90000,Working,Secondary / secondary special,Married,-17036,-2177,1,1,0,Low-skill Laborers,2,47,6,House / apartment
5089124,1,F,0,0,1,162000,Working,Incomplete higher,Civil marriage,-12580,-3109,1,1,0,Core staff,3,34,8.5,House / apartment
5117601,1,F,0,0,0,157500,Working,Higher education,Married,-14098,-2257,0,0,0,Core staff,2,39,6,House / apartment
5066574,1,F,1,1,1,315000,Working,Incomplete higher,Single / not married,-11725,-2044,0,0,0,Core staff,2,32,5.5,House / apartment
5061138,1,F,0,1,2,58500,Working,Higher education,Married,-14228,-5950,0,0,0,Core staff,4,39,16.5,House / apartment
5091591,1,F,0,1,0,225000,Commercial associate,Incomplete higher,Married,-10159,-1204,0,0,0,Accountants,2,28,3.5,Other
5113500,0,M,1,1,0,225000,Commercial associate,Incomplete higher,Single / not married,-10033,-223,0,0,1,Managers,1,27,0.5,Other
5149838,0,F,0,1,0,157500,Pensioner,Higher education,Married,-12387,-1325,0,1,1,Medicine staff,2,34,3.5,House / apartment
5116983,1,F,0,1,0,112500,State servant,Secondary / secondary special,Widow,-20075,-672,0,0,0,Medicine staff,1,55,2,House / apartment
5106043,1,F,0,0,0,157500,State servant,Higher education,Civil marriage,-18142,-3041,0,1,0,Core staff,2,50,8.5,Other
5117506,1,M,0,0,0,247500,Working,Secondary / secondary special,Single / not married,-10225,-1376,1,0,0,Laborers,1,28,4,House / apartment
5054108,1,F,1,0,0,315000,Commercial associate,Higher education,Widow,-18064,-3315,1,0,0,Managers,1,49,9,House / apartment
5036903,1,M,1,0,0,202500,Working,Secondary / secondary special,Single / not married,-9802,-2319,1,0,0,Laborers,1,27,6.5,Other
5095817,1,F,0,0,3,112500,Working,Incomplete higher,Married,-15447,-2470,1,0,0,Sales staff,5,42,7,Other
5143318,1,F,0,0,1,67500,Commercial associate,Secondary / secondary special,Married,-11306,-2053,0,0,0,Sales staff,3,31,5.5,House / apartment
5061418,1,F,0,1,0,270000,Commercial associate,Lower secondary,Civil marriage,-14609,-1842,1,1,0,Sales staff,2,40,5,House / apartment
5069310,1,F,0,1,0,112500,Working,Lower secondary,Civil marriage,-12325,-536,0,0,0,Cleaning staff,2,34,1.5,Other
5046328,0,F,0,1,1,157500,Pensioner,Secondary / secondary special,Single / not married,-15466,-2269,0,1,0,Low-skill Laborers,3,42,6,House / apartment
5025092,1,M,1,0,3,90000,Working,Lower secondary,Separated,-13608,-1461,1,0,0,Drivers,4,37,4,Other
5132942,1,F,0,1,1,157500,State servant,Secondary / secondary special,Single / not married,-12676,-1350,0,0,0,Waiters/barmen staff,2,35,3.5,House / apartment
5041360,0,F,0,0,0,315000,Commercial associate,Higher education,Civil marriage,-14679,-1282,0,0,0,Managers,2,40,3.5,Other
5010998,0,F,0,1,0,90000,Working,Secondary / secondary special,Married,-20074,-221,0,0,0,Medicine staff,2,55,0.5,House / apartment
5090938,1,F,1,0,1,184500,Working,Higher education,Separated,-13438,-4447,1,0,0,Core staff,2,37,12,Other
5023304,1,M,1,0,1,225000,Working,Secondary / secondary special,Married,-10502,-1878,0,0,0,Laborers,3,29,5,House / apartment
5025038,0,F,0,0,0,135000,Commercial associate,Incomplete higher,Single / not married,-8534,-1707,0,0,1,Laborers,1,23,4.5,Other
5029787,1,F,0,1,0,112500,State servant,Secondary / secondary special,Married,-21215,-808,0,0,0,Medicine staff,2,58,2,House / apartment
5113542,1,F,0,0,2,193500,Commercial associate,Lower secondary,Civil marriage,-9596,-2445,0,0,1,Accountants,4,26,6.5,House / apartment
5035514,1,F,0,0,1,202500,State servant,Secondary / secondary special,Single / not married,-19272,-6216,0,1,0,Cooking staff,2,53,17,Other
5116705,1,F,0,1,1,157500,Working,Lower secondary,Widow,-13361,-3258,0,0,0,Cooking staff,2,37,9,House / apartment
5137375,1,M,1,0,1,202500,Working,Incomplete higher,Married,-11745,-231,1,0,0,Drivers,3,32,0.5,House / apartment
5116282,1,F,0,0,0,112500,Commercial associate,Lower secondary,Married,-19020,-231,0,0,0,Sales staff,2,52,0.5,Other
5137301,1,M,1,0,2,157500,Commercial associate,Higher education,Separated,-13514,-1357,0,1,0,Managers,3,37,3.5,Other
5010560,1,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,-15774,-2901,0,1,0,High skill tech staff,2,43,8,House / apartment
5088179,1,F,0,0,0,180000,Working,Incomplete higher,Widow,-19629,-1897,1,1,0,Core staff,1,54,5,House / apartment
5106043,1,F,0,0,0,157500,State servant,Higher education,Civil marriage,-18142,-3041,0,1,0,Core staff,2,50,8.5,Other
5090759,1,F,0,1,0,81000,State servant,Secondary / secondary special,Widow,-21990,-7677,1,1,0,Medicine staff,1,60,21,House / apartment
5096874,1,F,0,1,1,112500,Working,Secondary / secondary special,Married,-14605,-5363,0,0,0,Laborers,3,40,14.5,Other
5024805,0,M,0,0,1,112500,Working,Secondary / secondary special,Separated,-15390,-1615,0,0,0,Laborers,2,42,4.5,Other
5067369,1,F,1,1,0,315000,Commercial associate,Incomplete higher,Single / not married,-9130,-1390,0,1,0,Core staff,1,25,4,House / apartment
5008911,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other
5061989,1,F,0,1,0,135000,Working,Higher education,Married,-13299,-1628,0,0,0,Laborers,2,36,4.5,House / apartment
5105295,1,F,0,0,0,112500,Working,Secondary / secondary special,Widow,-10240,-818,1,1,0,Core staff,1,28,2,Other
5142691,0,M,1,0,2,135000,State servant,Secondary / secondary special,Married,-14038,-6558,1,1,0,Core staff,4,38,18,House / apartment
5085961,1,M,0,1,0,225000,State servant,Secondary / secondary special,Married,-12394,-381,0,0,0,Laborers,2,34,1,House / apartment
5028425,1,F,0,0,0,90000,Working,Secondary / secondary special,Civil marriage,-17834,-1330,0,0,0,Medicine staff,2,49,3.5,House / apartment
5115660,1,M,1,1,0,225000,Commercial associate,Higher education,Single / not married,-15994,-2537,0,1,0,Sales staff,1,44,7,House / apartment
5041473,1,F,0,0,2,135000,State servant,Incomplete higher,Married,-11637,-2285,1,1,0,Core staff,4,32,6.5,Other
5149339,1,F,1,1,0,292500,Commercial associate,Higher education,Single / not married,-16930,-8995,0,0,0,High skill tech staff,1,46,24.5,House / apartment
5135487,0,F,0,1,0,135000,State servant,Higher education,Single / not married,-10660,-1935,0,0,0,Core staff,1,29,5.5,Other
5046492,1,M,0,1,0,112500,Working,Secondary / secondary special,Single / not married,-8718,-756,0,0,0,Laborers,1,24,2,House / apartment
5116555,1,F,1,0,0,180000,Working,Incomplete higher,Married,-10824,-762,0,0,0,Managers,2,30,2,Other
5113899,1,M,0,0,0,225000,Working,Secondary / secondary special,Married,-19124,-5064,0,1,0,Laborers,2,52,14,House / apartment
5050724,1,F,1,0,0,360000,Working,Higher education,Married,-12845,-2296,1,1,0,Accountants,2,35,6.5,House / apartment
5114316,1,F,0,0,0,216000,State servant,Higher education,Widow,-18408,-4242,0,1,0,Core staff,1,50,11.5,House / apartment
5092265,1,M,0,1,0,112500,Working,Secondary / secondary special,Civil marriage,-17837,-351,0,0,0,Security staff,2,49,1,House / apartment
5095736,1,F,0,0,0,135000,Commercial associate,Secondary / secondary special,Single / not married,-12988,-431,1,0,0,Sales staff,1,36,1,House / apartment
5125219,1,M,0,1,0,675000,Commercial associate,Higher education,Married,-17754,-1109,1,1,1,Managers,2,49,3,House / apartment
5029673,1,M,1,1,1,112500,Working,Secondary / secondary special,Civil marriage,-13165,-1022,0,0,0,Drivers,3,36,3,House / apartment
5021355,1,F,0,1,2,67500,State servant,Incomplete higher,Married,-13259,-213,0,0,0,Core staff,4,36,0.5,Other
5115455,0,F,1,1,0,270000,Pensioner,Higher education,Married,-17833,-620,0,1,0,Accountants,2,49,1.5,House / apartment
5029028,0,F,0,1,0,90000,Working,Lower secondary,Single / not married,-12026,-4770,0,0,0,Cleaning staff,2,33,13,Other
5067507,1,M,0,1,0,180000,Working,Lower secondary,Civil marriage,-13024,-2191,0,0,0,Managers,2,36,6,House / apartment
5091316,1,F,0,1,1,270000,Working,Secondary / secondary special,Civil marriage,-11186,-1753,0,0,0,Sales staff,3,31,5,Other
5095867,1,F,0,0,0,202500,Working,Higher education,Civil marriage,-15309,-5179,1,1,0,Core staff,2,42,14,House / apartment
5091751,1,M,1,0,2,135000,Working,Higher education,Married,-12725,-1631,0,0,0,Core staff,4,35,4.5,House / apartment
5052650,1,F,0,1,0,225000,Working,Higher education,Widow,-20538,-5525,1,0,0,Sales staff,1,56,15,House / apartment
5113238,1,F,0,1,1,175500,Working,Secondary / secondary special,Married,-16704,-132,1,0,0,Cleaning staff,3,46,0.5,House / apartment
5096881,1,F,0,1,1,90000,State servant,Higher education,Married,-9764,-1160,0,0,1,Core staff,3,27,3,House / apartment
5097034,1,M,0,0,0,270000,Commercial associate,Higher education,Married,-12993,-249,1,1,0,Core staff,2,36,0.5,House / apartment
5068236,1,M,1,0,0,225000,State servant,Higher education,Civil marriage,-16032,-5406,0,0,1,Drivers,2,44,15,House / apartment
5050486,1,F,0,0,0,292500,Commercial associate,Secondary / secondary special,Civil marriage,-18698,-10758,0,0,0,Laborers,2,51,29.5,House / apartment
5010868,0,M,1,1,1,450000,Pensioner,Secondary / secondary special,Married,-18173,-678,0,1,1,Core staff,3,50,2,House / apartment
5029078,1,F,0,1,1,135000,Working,Incomplete higher,Separated,-10153,-599,0,0,0,Sales staff,2,28,1.5,House / apartment
5029028,0,F,0,1,0,90000,Working,Lower secondary,Single / not married,-12026,-4770,0,0,0,Cleaning staff,2,33,13,Other
5068242,0,F,0,1,0,247500,Working,Secondary / secondary special,Married,-11268,-2545,1,1,0,Laborers,2,31,7,House / apartment
5022945,1,F,1,0,0,202500,Commercial associate,Incomplete higher,Separated,-14096,-1344,0,1,1,Accountants,1,39,3.5,House / apartment
5135537,1,M,1,1,5,202500,Working,Secondary / secondary special,Married,-11384,-2727,0,0,0,Managers,7,31,7.5,Other
5035702,1,F,0,1,0,112500,State servant,Lower secondary,Married,-19814,-2656,0,0,0,Laborers,2,54,7.5,House / apartment
5112873,1,F,1,1,0,143100,State servant,Higher education,Married,-18400,-10052,0,0,1,IT staff,2,50,27.5,House / apartment
5022894,0,M,0,1,0,315000,Working,Incomplete higher,Married,-13326,-2588,1,0,0,Laborers,2,37,7,House / apartment
5115426,1,F,1,1,2,202500,Commercial associate,Secondary / secondary special,Married,-12642,-3298,0,0,0,High skill tech staff,4,35,9,House / apartment
5091588,0,F,0,0,2,225000,Working,Secondary / secondary special,Married,-12244,-2361,0,0,0,Sales staff,4,34,6.5,Other
5053069,0,F,0,1,0,193500,State servant,Secondary / secondary special,Married,-22168,-10155,0,0,0,Cooking staff,2,61,28,Other
5024470,0,F,0,1,2,135000,Commercial associate,Secondary / secondary special,Married,-10186,-2315,0,0,0,Medicine staff,4,28,6.5,House / apartment
5051192,1,M,0,0,0,270000,Working,Incomplete higher,Separated,-17938,-531,1,0,0,Managers,1,49,1.5,Other
5092394,0,M,1,1,1,157500,Pensioner,Secondary / secondary special,Married,-11050,-443,1,0,0,Drivers,3,30,1,House / apartment
5029776,1,F,0,1,0,112500,State servant,Secondary / secondary special,Married,-21215,-808,0,0,0,Medicine staff,2,58,2,House / apartment
5068768,1,F,0,0,0,135000,Working,Incomplete higher,Married,-16392,-2119,0,0,0,Core staff,2,45,6,House / apartment
5054107,1,F,1,0,0,315000,Commercial associate,Higher education,Widow,-18064,-3315,1,0,0,Managers,1,49,9,House / apartment
5009271,1,M,0,0,0,180000,Commercial associate,Secondary / secondary special,Married,-14781,-2443,0,1,0,Laborers,2,40,6.5,Other
5125606,1,F,0,1,1,243000,State servant,Higher education,Separated,-16910,-379,0,0,0,Managers,2,46,1,House / apartment
5045741,1,M,0,0,0,225000,Commercial associate,Incomplete higher,Single / not married,-9448,-1022,0,0,0,Drivers,1,26,3,House / apartment
5048538,0,F,1,1,1,270000,Commercial associate,Academic degree,Married,-12155,-979,0,0,0,Sales staff,3,33,2.5,House / apartment
5067734,1,F,0,1,1,135000,Commercial associate,Incomplete higher,Married,-10288,-2616,1,1,0,Managers,3,28,7,House / apartment
5023696,1,F,0,1,0,117000,Commercial associate,Secondary / secondary special,Civil marriage,-12185,-4710,1,1,0,Private service staff,2,33,13,House / apartment
5045042,1,M,1,1,2,202500,Working,Higher education,Married,-11838,-798,0,0,0,Managers,4,32,2,House / apartment
5096747,1,F,0,1,0,180000,Working,Lower secondary,Widow,-16803,-2227,1,1,0,Cleaning staff,1,46,6,House / apartment
5025245,1,M,1,0,0,270000,Working,Higher education,Married,-11812,-642,0,0,0,High skill tech staff,2,32,2,House / apartment
5089849,1,F,0,1,1,225000,Commercial associate,Secondary / secondary special,Civil marriage,-16505,-1862,0,1,1,Core staff,3,45,5,House / apartment
5092008,0,F,0,0,0,112500,Commercial associate,Higher education,Married,-19721,-1539,0,0,0,Accountants,2,54,4,Other
5091012,1,F,0,1,0,90000,Working,Lower secondary,Married,-11239,-3018,0,1,0,Medicine staff,2,31,8.5,House / apartment
5095090,1,F,0,1,2,202500,Working,Higher education,Married,-13797,-3259,0,1,0,High skill tech staff,4,38,9,House / apartment
5068060,1,M,1,1,1,427500,Working,Higher education,Married,-15085,-354,0,0,0,Managers,3,41,1,House / apartment
5089504,1,M,1,0,0,225000,Working,Secondary / secondary special,Single / not married,-8958,-217,1,1,0,Drivers,1,25,0.5,House / apartment
5009032,1,F,0,1,0,315000,Working,Secondary / secondary special,Single / not married,-10554,-1194,0,0,0,Accountants,1,29,3.5,House / apartment
5100156,1,M,1,1,0,234000,Commercial associate,Higher education,Civil marriage,-23324,-5239,1,1,0,High skill tech staff,2,64,14.5,House / apartment
5142420,1,M,0,1,1,270000,Commercial associate,Incomplete higher,Married,-12443,-1169,0,1,0,Drivers,3,34,3,House / apartment
5090136,1,F,0,1,0,67500,Commercial associate,Secondary / secondary special,Single / not married,-13474,-3024,0,0,0,Sales staff,1,37,8.5,House / apartment
5061322,0,F,1,1,1,261000,State servant,Higher education,Married,-15050,-1628,0,0,0,Managers,3,41,4.5,House / apartment
5023442,1,F,0,1,0,180000,Working,Higher education,Single / not married,-22730,-13415,1,1,0,Sales staff,1,62,37,House / apartment
5148652,1,F,1,1,1,202500,Commercial associate,Secondary / secondary special,Married,-15346,-2481,0,0,0,Laborers,3,42,7,House / apartment
5051083,1,F,0,0,0,270000,Commercial associate,Secondary / secondary special,Separated,-16999,-1140,1,1,0,Sales staff,1,47,3,Other
5068002,1,F,0,1,0,76500,Working,Secondary / secondary special,Married,-19380,-5022,1,1,0,Laborers,2,53,14,House / apartment
5088855,1,F,1,1,0,112500,Working,Higher education,Married,-11353,-2316,0,0,1,Accountants,2,31,6.5,House / apartment
5056081,0,M,1,1,0,261000,Working,Incomplete higher,Separated,-21583,-5627,0,0,0,Drivers,1,59,15.5,House / apartment
5112978,1,M,0,0,0,202500,Commercial associate,Secondary / secondary special,Married,-20079,-3505,1,1,0,Laborers,2,55,9.5,House / apartment
5069252,1,F,0,0,0,180000,Working,Higher education,Single / not married,-13619,-385,0,0,0,IT staff,1,37,1,House / apartment
5078824,1,F,0,0,0,63000,Commercial associate,Higher education,Married,-14770,-2004,0,0,0,Core staff,2,40,5.5,House / apartment
5105681,1,F,0,0,1,135000,Working,Higher education,Married,-10263,-583,0,0,0,Secretaries,3,28,1.5,Other
5105402,1,F,0,1,0,135000,Commercial associate,Higher education,Single / not married,-10153,-483,0,0,0,Managers,1,28,1.5,House / apartment
5150325,1,F,1,1,0,225000,Commercial associate,Higher education,Single / not married,-9690,-1193,0,0,0,Core staff,1,27,3.5,Other
5024337,1,M,1,0,0,135000,Commercial associate,Incomplete higher,Civil marriage,-10511,-305,0,0,0,IT staff,2,29,1,House / apartment
5008889,1,F,0,1,0,247500,Commercial associate,Higher education,Separated,-17016,-1347,0,0,0,Core staff,1,47,3.5,Other
5008889,1,F,0,1,0,247500,Commercial associate,Higher education,Separated,-17016,-1347,0,0,0,Core staff,1,47,3.5,Other
5091812,1,M,1,0,0,112500,State servant,Incomplete higher,Single / not married,-8746,-1873,1,1,0,Laborers,1,24,5,Other
5022602,1,M,0,1,0,337500,Working,Higher education,Married,-13263,-5269,0,0,0,Managers,2,36,14.5,House / apartment
5010461,1,F,0,1,0,171000,Student,Higher education,Married,-18756,-3904,0,0,1,Core staff,2,51,10.5,House / apartment
5045986,1,F,0,0,0,117000,Commercial associate,Secondary / secondary special,Single / not married,-17257,-777,0,0,0,Laborers,1,47,2,Other
5008929,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other
5100043,1,F,0,0,2,103500,Working,Incomplete higher,Married,-11078,-3960,0,0,0,Sales staff,4,30,11,House / apartment
5065334,1,M,0,1,0,202500,Commercial associate,Lower secondary,Married,-9766,-1935,0,1,0,Sales staff,2,27,5.5,Other
5010519,1,M,1,1,1,450000,Working,Higher education,Married,-18476,-2625,0,0,0,Managers,3,51,7,Other
5028720,1,M,1,1,0,225000,Commercial associate,Higher education,Married,-15000,-1117,0,0,1,Managers,2,41,3,House / apartment
5008932,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other
5029675,1,M,1,1,1,112500,Working,Secondary / secondary special,Civil marriage,-13165,-1022,0,0,0,Drivers,3,36,3,House / apartment
5068190,0,F,0,1,0,135000,Commercial associate,Secondary / secondary special,Widow,-18683,-3580,0,0,0,Sales staff,1,51,10,House / apartment
5143282,1,M,1,1,0,405000,Working,Secondary / secondary special,Married,-17991,-683,0,0,0,Sales staff,2,49,2,House / apartment
5024402,1,F,0,0,0,76500,State servant,Secondary / secondary special,Single / not married,-8520,-550,1,0,0,Medicine staff,1,23,1.5,Other
5116283,1,F,0,0,0,112500,Commercial associate,Lower secondary,Married,-19020,-231,0,0,0,Sales staff,2,52,0.5,Other
5149137,0,F,0,1,0,180000,Working,Secondary / secondary special,Civil marriage,-12736,-2725,0,0,0,Laborers,2,35,7.5,House / apartment
5067070,1,F,0,1,0,171000,State servant,Lower secondary,Widow,-18672,-2593,0,1,0,Medicine staff,1,51,7,House / apartment
5126088,1,M,1,1,0,360000,Working,Higher education,Married,-18670,-5431,1,1,0,Managers,2,51,15,House / apartment
5096869,1,F,0,0,2,67500,Commercial associate,Secondary / secondary special,Married,-11154,-1892,0,0,0,Secretaries,4,31,5,House / apartment
5035702,1,F,0,1,0,112500,State servant,Lower secondary,Married,-19814,-2656,0,0,0,Laborers,2,54,7.5,House / apartment
5045676,1,F,0,1,1,270000,State servant,Secondary / secondary special,Civil marriage,-12721,-5252,0,0,0,Medicine staff,3,35,14.5,House / apartment
5067561,1,M,1,1,0,900000,Commercial associate,Higher education,Married,-15295,-5498,0,0,0,Managers,2,42,15,House / apartment
5095628,0,F,0,0,1,171261,State servant,Secondary / secondary special,Single / not married,-9673,-493,0,0,0,Medicine staff,2,27,1.5,Other
5093235,1,M,0,0,0,90000,Working,Secondary / secondary special,Civil marriage,-12576,-3345,0,0,0,Security staff,2,34,9,House / apartment
5117295,0,M,0,0,0,225000,Commercial associate,Higher education,Single / not married,-20788,-5300,0,0,0,Managers,1,57,14.5,Other
5095488,1,F,0,1,1,157500,Commercial associate,Secondary / secondary special,Separated,-15554,-96,0,1,0,Laborers,2,43,0.5,House / apartment
5046079,1,F,1,1,2,112500,State servant,Lower secondary,Married,-14234,-5710,1,0,0,Medicine staff,4,39,15.5,House / apartment
5142719,1,F,0,0,0,202500,Working,Secondary / secondary special,Single / not married,-20669,-13102,1,0,0,Medicine staff,1,57,36,House / apartment
5078970,1,F,0,1,0,157500,Commercial associate,Secondary / secondary special,Separated,-12009,-1912,0,1,0,Sales staff,1,33,5,House / apartment
5021589,1,F,1,1,0,247500,Working,Incomplete higher,Separated,-19672,-1375,1,0,0,Accountants,1,54,4,House / apartment
5112833,1,F,0,1,1,90000,Working,Secondary / secondary special,Separated,-13200,-1017,0,1,1,Sales staff,2,36,3,Other
5149618,1,M,0,0,0,112500,Working,Incomplete higher,Civil marriage,-8547,-990,1,0,0,Laborers,2,23,2.5,Other
5066412,1,F,0,1,1,292500,Working,Incomplete higher,Single / not married,-12665,-2593,0,0,0,Core staff,2,35,7,House / apartment
5142375,1,M,1,0,0,180000,Commercial associate,Incomplete higher,Single / not married,-9538,-195,0,0,0,Laborers,1,26,0.5,Other
5145977,1,F,1,0,0,112500,State servant,Secondary / secondary special,Widow,-19538,-5880,0,0,0,Secretaries,1,54,16,House / apartment
5113393,0,F,0,1,0,112500,Working,Secondary / secondary special,Married,-8552,-1562,0,0,0,Sales staff,2,23,4.5,House / apartment
5022318,1,M,1,0,1,270000,Commercial associate,Higher education,Married,-11373,-1371,0,0,0,Managers,3,31,4,House / apartment
5095817,1,F,0,0,3,112500,Working,Incomplete higher,Married,-15447,-2470,1,0,0,Sales staff,5,42,7,Other
5048530,1,F,1,1,1,270000,Commercial associate,Academic degree,Married,-12155,-979,0,0,0,Sales staff,3,33,2.5,House / apartment
5115640,1,M,1,1,0,382500,Working,Higher education,Separated,-14806,-710,1,1,0,Managers,1,41,2,House / apartment
5047796,1,F,0,1,1,112500,Student,Secondary / secondary special,Civil marriage,-12127,-795,0,0,0,Laborers,3,33,2,House / apartment
5051192,1,M,0,0,0,270000,Working,Incomplete higher,Separated,-17938,-531,1,0,0,Managers,1,49,1.5,Other
5125508,0,M,0,1,1,202500,Commercial associate,Secondary / secondary special,Married,-14952,-104,0,1,0,Security staff,3,41,0.5,House / apartment
