ID,label,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,DAYS_EMPLOYED_CLEAN,Grouped_Housing_Type,NAME_HOUSING_TYPE_GROUPED
5008841,1,M,0,1,1,405000,Commercial associate,Higher education,Married,-11842,-2016,0,0,0,Managers,3,32,5.5,House / apartment,First Feature
5008842,1,M,0,1,1,405000,Commercial associate,Higher education,Married,-11842,-2016,0,0,0,Managers,3,32,5.5,House / apartment,First Feature
5008843,1,M,0,1,1,405000,Commercial associate,Higher education,Married,-11842,-2016,0,0,0,Managers,3,32,5.5,House / apartment,First Feature
5008844,1,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,-20502,-4450,0,1,0,Drivers,2,56,12,House / apartment,First Feature
5008846,1,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,-20502,-4450,0,1,0,Drivers,2,56,12,House / apartment,First Feature
5008847,1,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,-20502,-4450,0,1,0,Drivers,2,56,12,House / apartment,First Feature
5008849,1,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,-20502,-4450,0,1,0,Drivers,2,56,12,House / apartment,First Feature
5008850,1,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,-20502,-4450,0,1,0,Drivers,2,56,12,House / apartment,First Feature
5008851,1,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,-20502,-4450,0,1,0,Drivers,2,56,12,House / apartment,First Feature
5008852,1,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,-20502,-4450,0,1,0,Drivers,2,56,12,House / apartment,First Feature
5008853,1,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,-20502,-4450,0,1,0,Drivers,2,56,12,House / apartment,First Feature
5008854,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008855,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008856,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008857,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008858,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008859,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008860,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008861,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008862,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008863,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008864,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008865,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008866,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008867,1,F,1,1,2,135000,Working,Secondary / secondary special,Married,-15761,-3173,0,0,0,Laborers,4,43,8.5,House / apartment,First Feature
5008868,1,F,0,1,1,211500,State servant,Secondary / secondary special,Civil marriage,-16212,-7099,0,0,0,Core staff,3,44,19.5,House / apartment,First Feature
5008870,1,F,0,1,1,211500,State servant,Secondary / secondary special,Civil marriage,-16212,-7099,0,0,0,Core staff,3,44,19.5,House / apartment,First Feature
5008872,0,M,1,1,0,360000,Commercial associate,Secondary / secondary special,Married,-16670,-5364,0,1,0,Security staff,2,46,14.5,House / apartment,First Feature
5008873,1,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008874,1,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008875,1,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008876,1,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008877,1,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008878,0,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008879,1,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008880,1,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008881,1,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008882,1,F,0,1,2,126000,Commercial associate,Higher education,Married,-12411,-1773,0,0,1,Managers,4,34,5,House / apartment,First Feature
5008888,1,F,0,1,0,247500,Commercial associate,Higher education,Separated,-17016,-1347,0,0,0,Core staff,1,47,3.5,Other,Other
5008889,1,F,0,1,0,247500,Commercial associate,Higher education,Separated,-17016,-1347,0,0,0,Core staff,1,47,3.5,Other,Other
5008890,1,F,0,1,0,247500,Commercial associate,Higher education,Separated,-17016,-1347,0,0,0,Core staff,1,47,3.5,Other,Other
5008891,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008892,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008893,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008894,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008895,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008896,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008897,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008898,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008899,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008900,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008901,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008902,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008903,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008904,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008905,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008906,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008907,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008908,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008909,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008910,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008911,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008912,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008913,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008914,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008915,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008916,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008917,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008918,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008919,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008920,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008921,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008922,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008923,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008924,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008925,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008926,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008927,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008928,0,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008929,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008930,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008931,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008932,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008933,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008934,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008935,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008936,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008937,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008938,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008939,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008940,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008941,1,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,-15519,-3234,0,0,0,Laborers,1,43,9,Other,Other
5008942,0,F,0,0,0,157500,Commercial associate,Higher education,Married,-13642,-4846,0,1,0,High skill tech staff,2,37,13.5,House / apartment,First Feature
5008943,1,F,0,0,0,157500,Commercial associate,Higher education,Married,-13642,-4846,0,1,0,High skill tech staff,2,37,13.5,House / apartment,First Feature
5008944,0,F,0,0,0,157500,Commercial associate,Higher education,Married,-13642,-4846,0,1,0,High skill tech staff,2,37,13.5,House / apartment,First Feature
5008945,0,F,0,0,0,157500,Commercial associate,Higher education,Married,-13642,-4846,0,1,0,High skill tech staff,2,37,13.5,House / apartment,First Feature
5008946,0,F,0,0,0,157500,Commercial associate,Higher education,Married,-13642,-4846,0,1,0,High skill tech staff,2,37,13.5,House / apartment,First Feature
5008947,1,M,0,1,0,135000,Working,Secondary / secondary special,Married,-15484,-1408,1,1,0,Drivers,2,42,4,House / apartment,First Feature
5008948,1,M,0,1,0,135000,Working,Secondary / secondary special,Married,-15484,-1408,1,1,0,Drivers,2,42,4,House / apartment,First Feature
5008949,1,M,0,1,0,135000,Working,Secondary / secondary special,Married,-15484,-1408,1,1,0,Drivers,2,42,4,House / apartment,First Feature
5008950,1,M,0,1,0,135000,Working,Secondary / secondary special,Married,-15484,-1408,1,1,0,Drivers,2,42,4,House / apartment,First Feature
5008955,1,F,1,1,0,135000,Working,Secondary / secondary special,Married,-17785,-1712,0,0,0,Laborers,2,49,4.5,House / apartment,First Feature
5008956,1,F,1,1,0,135000,Working,Secondary / secondary special,Married,-17785,-1712,0,0,0,Laborers,2,49,4.5,House / apartment,First Feature
5008957,1,F,1,1,0,135000,Working,Secondary / secondary special,Married,-17785,-1712,0,0,0,Laborers,2,49,4.5,House / apartment,First Feature
5008958,1,F,1,1,0,135000,Working,Secondary / secondary special,Married,-17785,-1712,0,0,0,Laborers,2,49,4.5,House / apartment,First Feature
5008959,1,F,1,1,0,135000,Working,Secondary / secondary special,Married,-17785,-1712,0,0,0,Laborers,2,49,4.5,House / apartment,First Feature
5008960,1,F,1,1,0,135000,Working,Secondary / secondary special,Married,-17785,-1712,0,0,0,Laborers,2,49,4.5,House / apartment,First Feature
5008962,1,F,1,1,0,135000,Working,Secondary / secondary special,Married,-17785,-1712,0,0,0,Laborers,2,49,4.5,House / apartment,First Feature
5008963,1,F,1,1,0,135000,Working,Secondary / secondary special,Married,-17785,-1712,0,0,0,Laborers,2,49,4.5,House / apartment,First Feature
5008981,1,M,1,1,0,112500,State servant,Secondary / secondary special,Married,-20874,-2381,0,1,0,Drivers,2,57,6.5,House / apartment,First Feature
5008983,1,M,1,1,0,112500,State servant,Secondary / secondary special,Married,-20874,-2381,0,1,0,Drivers,2,57,6.5,House / apartment,First Feature
5008984,1,M,1,1,0,112500,State servant,Secondary / secondary special,Married,-20874,-2381,0,1,0,Drivers,2,57,6.5,House / apartment,First Feature
5008986,1,M,1,1,0,112500,State servant,Secondary / secondary special,Married,-20874,-2381,0,1,0,Drivers,2,57,6.5,House / apartment,First Feature
5008987,1,M,1,1,0,112500,State servant,Secondary / secondary special,Married,-20874,-2381,0,1,0,Drivers,2,57,6.5,House / apartment,First Feature
5008988,1,M,1,1,0,112500,State servant,Secondary / secondary special,Married,-20874,-2381,0,1,0,Drivers,2,57,6.5,House / apartment,First Feature
5008991,1,F,1,1,0,270000,Working,Secondary / secondary special,Separated,-16582,-1194,1,1,0,Cleaning staff,1,45,3.5,House / apartment,First Feature
5008992,1,F,1,1,0,270000,Working,Secondary / secondary special,Separated,-16582,-1194,1,1,0,Cleaning staff,1,45,3.5,House / apartment,First Feature
5008993,1,F,1,1,0,270000,Working,Secondary / secondary special,Separated,-16582,-1194,1,1,0,Cleaning staff,1,45,3.5,House / apartment,First Feature
5008994,1,F,1,1,0,270000,Working,Secondary / secondary special,Separated,-16582,-1194,1,1,0,Cleaning staff,1,45,3.5,House / apartment,First Feature
5008995,1,F,1,1,0,270000,Working,Secondary / secondary special,Separated,-16582,-1194,1,1,0,Cleaning staff,1,45,3.5,House / apartment,First Feature
5008998,1,F,1,1,0,270000,Working,Higher education,Married,-10628,-828,0,0,1,Managers,2,29,2.5,House / apartment,First Feature
5008999,1,F,1,1,0,270000,Working,Higher education,Married,-10628,-828,0,0,1,Managers,2,29,2.5,House / apartment,First Feature
5009000,1,M,1,1,0,157500,Working,Secondary / secondary special,Married,-9927,-828,0,0,0,Drivers,2,27,2.5,House / apartment,First Feature
5009001,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009002,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009005,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009006,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009007,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009008,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009009,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009010,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009012,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009014,1,M,0,1,0,166500,Working,Secondary / secondary special,Married,-18926,-6276,1,1,0,Laborers,2,52,17,House / apartment,First Feature
5009027,1,F,1,1,0,270000,Commercial associate,Secondary / secondary special,Married,-19861,-10843,0,0,1,Laborers,2,54,29.5,House / apartment,First Feature
5009028,0,F,1,1,0,225000,Commercial associate,Secondary / secondary special,Married,-14450,-2777,0,0,0,Laborers,2,40,7.5,House / apartment,First Feature
5009029,1,F,1,1,0,225000,Commercial associate,Secondary / secondary special,Married,-14450,-2777,0,0,0,Laborers,2,40,7.5,House / apartment,First Feature
5009031,1,F,0,1,0,315000,Working,Secondary / secondary special,Single / not married,-10554,-1194,0,0,0,Accountants,1,29,3.5,House / apartment,First Feature
5009032,1,F,0,1,0,315000,Working,Secondary / secondary special,Single / not married,-10554,-1194,0,0,0,Accountants,1,29,3.5,House / apartment,First Feature
5009039,1,F,0,1,2,157500,Working,Secondary / secondary special,Single / not married,-14326,-555,0,0,0,Core staff,3,39,1.5,House / apartment,First Feature
5009040,1,F,0,1,2,157500,Working,Secondary / secondary special,Single / not married,-14326,-555,0,0,0,Core staff,3,39,1.5,House / apartment,First Feature
5009042,1,F,0,1,0,148500,Working,Higher education,Married,-17641,-889,0,0,0,Core staff,2,48,2.5,House / apartment,First Feature
5009043,1,F,0,1,0,148500,Working,Higher education,Married,-17641,-889,0,0,0,Core staff,2,48,2.5,House / apartment,First Feature
5009044,0,F,0,1,0,148500,Working,Higher education,Married,-17641,-889,0,0,0,Core staff,2,48,2.5,House / apartment,First Feature
5009045,0,F,0,1,0,148500,Working,Higher education,Married,-17641,-889,0,0,0,Core staff,2,48,2.5,House / apartment,First Feature
5009046,1,F,0,1,0,148500,Working,Higher education,Married,-17641,-889,0,0,0,Core staff,2,48,2.5,House / apartment,First Feature
5009047,1,F,0,1,0,148500,Working,Higher education,Married,-17641,-889,0,0,0,Core staff,2,48,2.5,House / apartment,First Feature
5009050,1,F,0,1,2,202500,Working,Higher education,Married,-10997,-2289,0,0,1,Core staff,4,30,6.5,House / apartment,First Feature
5009051,0,F,0,1,2,202500,Working,Higher education,Married,-10997,-2289,0,0,1,Core staff,4,30,6.5,House / apartment,First Feature
5009052,1,F,0,1,2,202500,Working,Higher education,Married,-10997,-2289,0,0,1,Core staff,4,30,6.5,House / apartment,First Feature
5009053,1,F,0,1,2,202500,Working,Higher education,Married,-10997,-2289,0,0,1,Core staff,4,30,6.5,House / apartment,First Feature
5009055,1,F,0,1,2,202500,Working,Higher education,Married,-10997,-2289,0,0,1,Core staff,4,30,6.5,House / apartment,First Feature
5009056,1,M,0,1,0,202500,Working,Secondary / secondary special,Single / not married,-8861,-889,1,0,0,Drivers,1,24,2.5,House / apartment,First Feature
5009057,1,M,0,1,0,202500,Working,Secondary / secondary special,Single / not married,-8861,-889,1,0,0,Drivers,1,24,2.5,House / apartment,First Feature
5009062,1,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,-10450,-2077,0,0,0,Sales staff,2,29,5.5,House / apartment,First Feature
5009063,1,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,-10450,-2077,0,0,0,Sales staff,2,29,5.5,House / apartment,First Feature
5009064,1,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,-10450,-2077,0,0,0,Sales staff,2,29,5.5,House / apartment,First Feature
5009065,1,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,-10450,-2077,0,0,0,Sales staff,2,29,5.5,House / apartment,First Feature
5009066,1,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,-10450,-2077,0,0,0,Sales staff,2,29,5.5,House / apartment,First Feature
5009067,1,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,-10450,-2077,0,0,0,Sales staff,2,29,5.5,House / apartment,First Feature
5009068,1,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,-10450,-2077,0,0,0,Sales staff,2,29,5.5,House / apartment,First Feature
5009069,1,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,-10450,-2077,0,0,0,Sales staff,2,29,5.5,House / apartment,First Feature
5009070,1,M,1,1,0,315000,Working,Secondary / secondary special,Civil marriage,-10450,-2077,0,0,0,Sales staff,2,29,5.5,House / apartment,First Feature
5009071,1,F,1,1,0,270000,Commercial associate,Incomplete higher,Civil marriage,-10264,-3173,0,1,1,High skill tech staff,2,28,8.5,Other,Other
5009072,1,F,1,1,0,270000,Commercial associate,Incomplete higher,Civil marriage,-10264,-3173,0,1,1,High skill tech staff,2,28,8.5,Other,Other
5009074,1,F,1,1,1,450000,State servant,Higher education,Married,-17726,-708,0,1,1,Core staff,3,49,2,House / apartment,First Feature
5009075,1,F,1,1,1,450000,State servant,Higher education,Married,-17726,-708,0,1,1,Core staff,3,49,2,House / apartment,First Feature
5009078,1,M,0,1,1,180000,Working,Secondary / secondary special,Married,-14122,-1286,0,0,0,Drivers,3,39,3.5,Other,Other
5009079,1,F,0,1,0,112500,Working,Higher education,Civil marriage,-10064,-3173,0,0,1,Laborers,2,28,8.5,House / apartment,First Feature
