CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,Grouped_Housing_Type,OCCUPATION_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,AGE,DAYS_EMPLOYED_CLEAN,label
M,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,1,0,202500,-10002,-447,0,0,0,1,27,1,1
F,Working,Higher education,Married,House / apartment,Core staff,0,1,0,112500,-10664,-954,0,0,0,2,29,2.5,1
F,State servant,Secondary / secondary special,Widow,House / apartment,Medicine staff,0,1,0,81000,-21990,-7677,1,1,0,1,60,21,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,1,0,0,31500,-17762,-7734,1,1,0,2,49,21,1
F,State servant,Higher education,Single / not married,House / apartment,Core staff,1,0,0,342000,-12214,-3807,0,0,0,1,33,10.5,1
M,Working,Incomplete higher,Separated,House / apartment,Laborers,0,1,0,315000,-12103,-1829,1,0,0,1,33,5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,0,90000,-18472,-1661,1,0,0,2,51,4.5,1
M,Working,Higher education,Married,House / apartment,Sales staff,1,1,0,135000,-9303,-852,0,0,0,2,25,2.5,1
F,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,1,0,144000,-18841,-4166,1,1,0,2,52,11.5,1
F,Working,Incomplete higher,Married,Other,Accountants,0,0,1,225000,-15817,-7379,0,0,0,3,43,20,1
M,Working,Secondary / secondary special,Widow,Other,Sales staff,0,0,0,90000,-20017,-3503,1,1,0,1,55,9.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,0,90000,-20074,-221,0,0,0,2,55,0.5,0
M,Working,Secondary / secondary special,Married,Other,Sales staff,1,1,0,202500,-16896,-354,0,1,0,2,46,1,0
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Private service staff,0,1,0,283500,-17651,-2384,0,0,1,2,48,6.5,1
F,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,0,112500,-21215,-808,0,0,0,2,58,2,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,0,144000,-18705,-5345,0,0,0,2,51,14.5,1
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,0,0,270000,-16896,-128,0,0,0,1,46,0.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,112500,-14601,-7900,0,1,0,2,40,21.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,126000,-10324,-513,1,1,0,2,28,1.5,1
M,Working,Higher education,Married,House / apartment,Drivers,1,1,0,222750,-16944,-1324,0,0,0,2,46,3.5,1
M,State servant,Secondary / secondary special,Civil marriage,House / apartment,High skill tech staff,1,1,0,247500,-11912,-1749,0,0,0,2,33,5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,0,1,1,157500,-14510,-3805,0,0,0,3,40,10.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,1,1,1,225000,-17317,-285,0,0,0,3,47,1,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,0,157500,-18749,-2542,0,0,0,2,51,7,1
F,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,0,0,0,90000,-18728,-9325,0,0,0,2,51,25.5,1
F,State servant,Secondary / secondary special,Married,House / apartment,Managers,0,1,0,180000,-14842,-8011,0,0,0,2,41,22,1
F,Working,Higher education,Married,House / apartment,Accountants,0,1,0,202500,-12831,-803,1,1,0,2,35,2,1
M,Commercial associate,Secondary / secondary special,Married,Other,Drivers,0,0,1,225000,-17868,-1912,0,0,0,3,49,5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,1,2,225000,-16084,-1382,0,0,0,4,44,4,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,63000,-15921,-8063,1,0,0,2,44,22,1
F,Working,Secondary / secondary special,Separated,Other,Drivers,0,0,0,171000,-16241,-8862,1,0,0,1,44,24.5,1
F,Working,Higher education,Single / not married,House / apartment,Laborers,0,1,0,90000,-21532,-4630,0,0,0,1,59,12.5,1
M,State servant,Secondary / secondary special,Single / not married,Other,Drivers,1,0,0,81000,-10574,-126,0,0,0,1,29,0.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,270000,-15730,-7259,1,1,0,2,43,20,1
M,Working,Higher education,Married,Other,Drivers,1,0,1,238500,-11384,-1965,1,1,0,3,31,5.5,1
F,Working,Secondary / secondary special,Married,Other,Laborers,0,0,1,90000,-10253,-1462,0,0,0,3,28,4,1
M,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,1,0,157500,-16182,-1564,1,1,0,1,44,4.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,1,1,0,135000,-14926,-789,0,0,0,2,41,2,1
M,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,1,1,0,292500,-11714,-765,0,1,0,2,32,2,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,0,1,0,67500,-19620,-2196,0,0,0,2,54,6,1
F,Working,Higher education,Single / not married,House / apartment,Cooking staff,1,1,1,112500,-13896,-344,0,0,0,2,38,1,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,247500,-15260,-622,1,0,0,2,42,1.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,112500,-10066,-834,0,0,0,2,28,2.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Security staff,1,1,0,225000,-20463,-185,0,0,0,2,56,0.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,0,202500,-15556,-2331,0,1,0,2,43,6.5,1
F,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,1,0,216000,-18067,-6517,1,1,1,2,49,18,1
M,Working,Higher education,Married,House / apartment,Cooking staff,0,1,0,243000,-9390,-217,0,0,1,2,26,0.5,1
M,Working,Higher education,Married,House / apartment,Managers,1,1,0,405000,-10772,-546,0,0,0,2,30,1.5,1
F,Working,Higher education,Separated,House / apartment,Managers,1,1,1,180000,-18838,-5981,0,0,0,2,52,16.5,1
F,State servant,Secondary / secondary special,Single / not married,House / apartment,Waiters/barmen staff,0,1,1,157500,-12676,-1350,0,0,0,2,35,3.5,1
F,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,0,0,0,45000,-13941,-5334,1,1,0,2,38,14.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,1,157500,-17262,-1107,1,1,0,3,47,3,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,0,180000,-10376,-126,0,1,0,2,28,0.5,1
F,Working,Higher education,Married,House / apartment,Core staff,0,1,1,185400,-14817,-413,0,0,1,3,41,1,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,1,157500,-14133,-185,0,1,0,3,39,0.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,1,1,1,157500,-13829,-3248,0,1,0,3,38,9,1
F,Working,Higher education,Married,House / apartment,Managers,0,1,0,67500,-19467,-2744,0,0,0,2,53,7.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,1,63000,-14550,-2987,0,0,0,3,40,8,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,1,121500,-16375,-962,0,1,0,3,45,2.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,135000,-12175,-1463,1,0,0,2,33,4,1
F,Commercial associate,Higher education,Married,Other,Laborers,0,0,0,211500,-14636,-4690,1,1,0,2,40,13,1
F,Working,Secondary / secondary special,Married,Other,Laborers,0,1,0,270000,-21088,-8855,0,0,0,2,58,24.5,1
F,Working,Secondary / secondary special,Married,Other,Sales staff,1,0,0,112500,-17372,-978,0,1,0,2,48,2.5,1
M,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,1,1,117000,-16809,-5247,0,0,0,3,46,14.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,1,3,81000,-14595,-884,0,0,0,5,40,2.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,180000,-19500,-3189,0,0,0,2,53,8.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,0,315000,-13062,-501,0,1,0,2,36,1.5,1
F,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,0,1,0,423000,-13480,-3153,0,0,0,1,37,8.5,1
F,Working,Higher education,Married,House / apartment,Managers,0,1,0,427500,-19889,-3600,1,0,0,2,54,10,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,391500,-16995,-7264,0,0,0,2,47,20,0
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,112500,-10535,-3819,1,1,0,2,29,10.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,135000,-12175,-1463,1,0,0,2,33,4,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0,0,0,94500,-15672,-622,1,0,0,1,43,1.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,0,81000,-16933,-10384,1,1,0,2,46,28.5,1
M,Working,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,1,0,0,180000,-20142,-108,0,0,0,1,55,0.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,1,0,0,112500,-13503,-1768,1,1,0,2,37,5,1
F,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1,1,1,135000,-11810,-648,1,1,0,2,32,2,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,1,1,270000,-14774,-1073,0,0,0,3,40,3,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,135000,-16624,-4054,0,0,0,2,46,11,1
F,Working,Secondary / secondary special,Married,House / apartment,Accountants,1,1,0,112500,-14892,-895,1,1,0,2,41,2.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,0,0,225000,-20641,-1064,0,1,0,2,57,3,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,1,0,0,202500,-16224,-2574,0,0,0,2,44,7,1
M,State servant,Higher education,Married,Other,High skill tech staff,1,0,2,225000,-10937,-1539,0,0,0,4,30,4,0
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,0,67500,-19433,-3892,0,0,0,2,53,10.5,1
F,Working,Higher education,Separated,House / apartment,Core staff,0,1,1,76500,-11838,-1112,0,0,0,2,32,3,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,1,1,1,157500,-11050,-443,1,0,0,3,30,1,1
F,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,1,1,0,189000,-18891,-477,0,1,1,2,52,1.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,2,202500,-9868,-583,0,0,0,4,27,1.5,1
F,Working,Secondary / secondary special,Married,Other,Laborers,0,0,1,90000,-10253,-1462,0,0,0,3,28,4,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,112500,-20018,-1732,0,0,0,2,55,4.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,99000,-17541,-7276,1,1,1,2,48,20,1
M,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,1,1,0,225000,-17706,-3043,0,1,0,2,49,8.5,1
M,Commercial associate,Higher education,Married,House / apartment,Drivers,1,1,0,252000,-13796,-2682,0,0,0,2,38,7.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,0,180000,-19200,-1570,1,1,1,2,53,4.5,1
M,Commercial associate,Higher education,Married,Other,IT staff,0,0,0,225000,-9412,-959,0,1,0,2,26,2.5,0
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,1,1,0,162000,-21152,-397,0,0,0,2,58,1,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0,1,0,135000,-20890,-3303,0,0,0,1,57,9,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,202500,-10564,-897,1,1,0,2,29,2.5,1
F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Managers,0,1,0,382500,-16514,-5187,0,0,0,1,45,14,1
F,Working,Secondary / secondary special,Married,Other,Sales staff,0,1,0,112500,-16022,-9052,0,0,0,2,44,25,1
F,Commercial associate,Higher education,Married,House / apartment,Laborers,0,1,0,180000,-15051,-614,1,0,0,2,41,1.5,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Medicine staff,0,0,0,180000,-10456,-1953,1,0,0,2,29,5.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,2,202500,-9868,-583,0,0,0,4,27,1.5,1
F,State servant,Higher education,Married,Other,Core staff,0,0,1,81000,-11707,-2317,0,0,0,3,32,6.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,1,0,0,202500,-16224,-2574,0,0,0,2,44,7,1
F,State servant,Secondary / secondary special,Married,House / apartment,Core staff,0,1,0,90000,-19461,-5124,0,0,0,2,53,14,1
F,State servant,Secondary / secondary special,Single / not married,House / apartment,HR staff,0,0,0,117000,-8852,-870,0,0,0,1,24,2.5,1
F,Working,Secondary / secondary special,Separated,House / apartment,Waiters/barmen staff,0,1,0,157500,-13356,-482,1,1,0,1,37,1.5,1
M,State servant,Higher education,Single / not married,House / apartment,Core staff,1,1,0,180000,-8507,-1082,0,0,0,1,23,3,1
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,0,1,135000,-17187,-178,0,0,0,2,47,0.5,1
M,Working,Higher education,Separated,House / apartment,Accountants,1,0,0,157500,-10510,-2105,1,1,0,1,29,6,1
F,Working,Incomplete higher,Separated,House / apartment,Accountants,1,1,0,247500,-19672,-1375,1,0,0,1,54,4,1
F,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,0,1,0,157500,-20311,-597,0,0,0,2,56,1.5,0
F,Commercial associate,Higher education,Married,House / apartment,Managers,0,1,0,495000,-19682,-3880,0,1,1,2,54,10.5,0
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,1,2,121500,-14364,-3747,0,0,0,4,39,10.5,1
F,Working,Higher education,Married,House / apartment,High skill tech staff,0,1,2,180000,-13921,-6949,1,1,0,4,38,19,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,90000,-19535,-259,1,0,0,2,54,0.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,90000,-16372,-3900,0,1,0,2,45,10.5,1
M,Working,Incomplete higher,Married,House / apartment,Laborers,1,1,2,337500,-12418,-1678,0,1,0,4,34,4.5,1
F,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff,0,1,0,126000,-21646,-1283,1,1,0,1,59,3.5,1
F,State servant,Higher education,Single / not married,House / apartment,Core staff,0,0,0,112500,-10557,-2410,0,0,0,1,29,6.5,1
F,Working,Secondary / secondary special,Separated,House / apartment,Laborers,0,1,0,315000,-15256,-3291,0,0,0,1,42,9,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,157500,-20170,-1768,0,0,0,2,55,5,1
F,Working,Incomplete higher,Married,Other,Core staff,0,0,2,139500,-13166,-2988,1,1,0,4,36,8,0
F,Working,Secondary / secondary special,Civil marriage,Other,Sales staff,0,0,0,81000,-11978,-2780,0,1,0,2,33,7.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,1,135000,-14935,-1753,0,1,0,3,41,5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,135000,-18103,-3840,0,0,0,2,50,10.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,126000,-10302,-734,0,0,0,2,28,2,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,1,112500,-11279,-508,0,0,0,3,31,1.5,0
F,Working,Incomplete higher,Single / not married,House / apartment,Sales staff,0,1,0,112500,-8213,-347,0,0,0,1,23,1,1
F,Working,Higher education,Married,House / apartment,Managers,1,1,1,157500,-14785,-4872,0,0,0,3,41,13.5,1
F,Commercial associate,Higher education,Married,House / apartment,Core staff,0,1,0,360000,-11089,-3902,0,1,0,2,30,10.5,1
F,State servant,Higher education,Married,House / apartment,Core staff,0,1,0,225000,-10977,-202,0,0,0,2,30,0.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,225000,-19124,-5064,0,1,0,2,52,14,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,0,0,67500,-9963,-1876,0,0,0,2,27,5,1
F,Working,Secondary / secondary special,Widow,House / apartment,Sales staff,1,0,0,225000,-14436,-401,0,0,0,1,40,1,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,0,387000,-20082,-4979,0,0,0,2,55,13.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,2,135000,-12406,-265,0,0,1,4,34,0.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,1,112500,-14045,-1043,0,0,0,3,38,3,1
M,State servant,Secondary / secondary special,Married,House / apartment,Drivers,0,1,1,225000,-9183,-2054,0,0,0,3,25,5.5,1
M,Commercial associate,Higher education,Married,House / apartment,Managers,0,0,0,360000,-20354,-1823,0,1,0,2,56,5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,1,0,274500,-20459,-6930,0,0,0,2,56,19,1
F,State servant,Secondary / secondary special,Married,House / apartment,Core staff,1,0,0,180000,-14732,-4491,0,0,0,2,40,12.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,0,1,1,157500,-14510,-3805,0,0,0,3,40,10.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,144000,-15394,-2959,0,1,0,2,42,8,1
F,Working,Secondary / secondary special,Married,Other,Laborers,1,1,1,67500,-17206,-1401,0,0,0,3,47,4,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,0,1,0,135000,-15407,-1801,0,0,0,2,42,5,0
F,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,0,1,0,135000,-20463,-2319,0,0,0,2,56,6.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,346500,-8990,-1566,0,0,0,2,25,4.5,0
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,1,0,157500,-14823,-961,0,0,0,1,41,2.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,225000,-16086,-320,0,1,0,2,44,1,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,0,1,67500,-11256,-362,0,1,0,3,31,1,1
M,Working,Secondary / secondary special,Married,House / apartment,Managers,1,0,0,247500,-19484,-6798,0,0,0,2,53,18.5,1
F,Working,Incomplete higher,Married,House / apartment,Sales staff,0,1,1,99000,-12390,-1922,1,1,0,3,34,5.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,0,1,72000,-12758,-148,0,0,0,3,35,0.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,0,0,1,45000,-13597,-96,0,0,0,3,37,0.5,1
F,Working,Secondary / secondary special,Widow,House / apartment,Cooking staff,0,0,0,270000,-18659,-407,0,0,0,1,51,1,0
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,112500,-15852,-3304,0,0,0,2,43,9,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,2,270000,-14950,-938,0,0,0,4,41,2.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,1,0,0,270000,-20776,-2745,1,1,0,2,57,7.5,0
M,Working,Higher education,Single / not married,House / apartment,Laborers,1,0,0,310500,-9930,-674,0,0,0,1,27,2,0
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,0,1,0,135000,-13211,-777,1,1,0,2,36,2,1
F,Commercial associate,Higher education,Single / not married,House / apartment,Accountants,1,0,1,135000,-10130,-1651,0,0,0,2,28,4.5,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers,1,0,1,270000,-15987,-592,1,0,0,3,44,1.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers,1,1,1,270000,-13207,-1401,0,0,0,3,36,4,0
F,Working,Incomplete higher,Married,House / apartment,Laborers,0,1,0,103500,-11855,-4583,0,0,0,2,32,12.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,135000,-11072,-864,0,1,0,2,30,2.5,1
F,Commercial associate,Higher education,Married,House / apartment,Sales staff,0,0,0,315000,-16188,-309,1,1,1,2,44,1,1
F,Commercial associate,Incomplete higher,Married,House / apartment,Sales staff,0,1,0,180000,-17921,-5008,0,0,0,2,49,13.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,270000,-14401,-3389,0,0,1,2,39,9.5,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Private service staff,0,1,0,157500,-17538,-7676,0,1,0,1,48,21,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,202500,-14614,-563,0,0,0,3,40,1.5,1
F,Working,Higher education,Single / not married,House / apartment,Laborers,0,0,0,225000,-10809,-3900,0,1,0,1,30,10.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,1,337500,-14840,-1539,0,0,0,3,41,4,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,202500,-15423,-3231,1,1,0,2,42,9,1
F,Working,Incomplete higher,Married,House / apartment,Core staff,0,0,0,157500,-16888,-2687,0,0,0,2,46,7.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,0,0,99000,-14657,-4392,1,1,0,2,40,12,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,0,1,1,112500,-15171,-1508,0,0,0,3,42,4,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,99000,-19613,-8152,1,0,0,2,54,22.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,135000,-19844,-2440,0,0,0,2,54,6.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,1,202500,-16499,-2391,0,0,0,3,45,6.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,292500,-15422,-3009,0,0,0,2,42,8,1
M,Working,Secondary / secondary special,Single / not married,Other,Sales staff,0,0,0,391500,-9242,-508,0,0,0,1,25,1.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,1,1,1,450000,-18173,-678,0,1,1,3,50,2,1
F,Working,Higher education,Married,House / apartment,Core staff,0,1,1,243000,-14295,-5966,0,0,1,3,39,16.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,0,1,0,202500,-22318,-565,0,0,0,2,61,1.5,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,1,1,0,135000,-16505,-8377,0,0,0,2,45,23,1
M,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0,1,1,202500,-12152,-1230,0,0,0,2,33,3.5,1
M,Commercial associate,Secondary / secondary special,Civil marriage,Other,Laborers,1,1,0,135000,-10665,-1493,0,0,0,2,29,4,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,0,189000,-14402,-1059,0,0,1,2,39,3,0
F,Commercial associate,Secondary / secondary special,Married,Other,Sales staff,0,1,0,121500,-12017,-1711,0,1,0,2,33,4.5,1
M,Commercial associate,Incomplete higher,Single / not married,House / apartment,Managers,0,1,1,198000,-9649,-140,0,0,0,2,26,0.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,81000,-13170,-763,1,0,0,2,36,2,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,0,1,0,112500,-17550,-2788,0,0,0,2,48,7.5,1
F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Managers,1,1,0,162000,-18251,-3019,0,1,0,2,50,8.5,1
M,Working,Higher education,Married,House / apartment,Laborers,1,1,0,360000,-19958,-7465,0,0,0,2,55,20.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,1,1,2,202500,-12642,-3298,0,0,0,4,35,9,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,225000,-20145,-1043,0,0,0,2,55,3,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,0,1,0,202500,-17822,-1730,0,0,0,2,49,4.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0,0,1,112500,-9582,-747,0,0,0,3,26,2,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,234000,-11970,-1748,0,0,0,3,33,5,1
F,Commercial associate,Higher education,Married,House / apartment,Managers,1,1,0,540000,-13758,-2535,0,0,1,2,38,7,1
F,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,0,112500,-21215,-808,0,0,0,2,58,2,1
